Field of study,Man,Woman,Other,Prefer not to say,Total,::rowname::
"Health, sport",19,12,0,3,34,
Other,14,12,3,4,33,
Applied statistics,12,14,3,2,31,
Mathematics,13,13,3,2,31,
Science of economics,13,16,0,1,30,
Psychology,18,5,4,1,28,
Education,12,11,2,2,27,
"Natural science, environmental science",15,9,3,0,27,
"Language, literature",11,11,1,3,26,
Other social sciences,15,8,1,2,26,
Statistics,12,11,1,2,26,
Law,10,10,2,1,23,
Data science,13,8,1,0,22,
"Art, music, design",11,7,2,0,20,
"History, civilizations study",9,9,0,2,20,
Theology,13,7,0,0,20,
Informatics / Computer science,10,5,1,1,17,
"Technical science, engineering",7,8,1,1,17,
Sociology,6,7,0,0,13,
