Field of study,Swiss,Europe,North America,Middle East,South and Central America,Africa,Asia,Total,::rowname::
"Health, sport",23,6,2,0,1,2,0,34,
Other,22,7,1,0,1,2,0,33,
Applied statistics,15,12,3,1,0,0,0,31,
Mathematics,19,7,1,1,2,1,0,31,
Science of economics,19,5,2,0,3,0,1,30,
Psychology,21,5,0,1,0,1,0,28,
Education,19,6,0,2,0,0,0,27,
"Natural science, environmental science",16,6,1,0,1,2,1,27,
"Language, literature",16,6,3,0,1,0,0,26,
Other social sciences,14,9,1,1,0,0,1,26,
Statistics,14,6,0,2,2,1,1,26,
Law,15,5,1,1,1,0,0,23,
Data science,13,7,0,0,1,1,0,22,
"Art, music, design",15,4,0,1,0,0,0,20,
"History, civilizations study",15,3,0,0,2,0,0,20,
Theology,13,4,1,0,1,1,0,20,
Informatics / Computer science,12,3,0,0,2,0,0,17,
"Technical science, engineering",11,2,1,0,2,1,0,17,
Sociology,7,4,0,0,1,0,1,13,
