Job title,Bachelor of applied science,University bachelor,Master of applied science,University master,PhD,Other,Total,::rowname::
Student,3,9,4,11,8,0,35,
Consultant,3,1,2,11,8,0,25,
Senior Statistician,2,6,1,6,6,1,22,
Biostatistician,2,5,3,2,8,1,21,
Epidemiologist,2,2,1,8,7,1,21,
PhD student,1,1,6,3,7,0,18,
Statistician,4,4,3,4,3,0,18,
Data Scientist,2,3,4,6,2,0,17,
Professor,1,6,1,6,1,0,15,
Project Manager,2,4,0,4,4,1,15,
Quantitative Analyst,2,0,3,4,4,1,14,
Data Analyst,0,4,1,5,3,0,13,
Research Scientist,1,1,2,5,3,1,13,
Software Engineer,0,1,0,6,6,0,13,
ML Engineer,1,1,1,4,5,0,12,
Postdoc,1,1,2,4,1,2,11,
Unemployed,0,2,2,1,5,0,10,
Retired,0,2,1,4,0,0,7,
