Job profile,Job title,N
Data Analyst,Data Scientist,5
Data Analyst,Professor,5
Data Analyst,Senior Statistician,5
Data Analyst,Student,5
Data Analyst,Epidemiologist,4
Statistician,Consultant,7
Statistician,Student,6
Statistician,Biostatistician,5
Statistician,Epidemiologist,5
Statistician,Data Scientist,3
Data Scientist / Engineer,Student,11
Data Scientist / Engineer,PhD student,9
Data Scientist / Engineer,Consultant,8
Data Scientist / Engineer,Epidemiologist,8
Data Scientist / Engineer,Biostatistician,7
Manager / Supervisor,Student,13
Manager / Supervisor,Senior Statistician,7
Manager / Supervisor,Biostatistician,6
Manager / Supervisor,PhD student,6
Manager / Supervisor,Consultant,5
Generalist,Consultant,2
Generalist,ML Engineer,2
Generalist,Postdoc,2
Generalist,Research Scientist,2
Generalist,Statistician,2
