Category,N,%,Cum.,Cum.%,::rowname::
Student,35,0.11666666666666667,35,0.11666666666666667,
Consultant,25,0.08333333333333333,60,0.2,
Senior Statistician,22,0.07333333333333333,82,0.2733333333333333,
Biostatistician,21,0.07,103,0.3433333333333333,
Epidemiologist,21,0.07,124,0.41333333333333333,
PhD student,18,0.06,142,0.47333333333333333,
Statistician,18,0.06,160,0.5333333333333333,
Data Scientist,17,0.056666666666666664,177,0.59,
Professor,15,0.05,192,0.64,
Project Manager,15,0.05,207,0.6900000000000001,
Quantitative Analyst,14,0.04666666666666667,221,0.7366666666666667,
Data Analyst,13,0.043333333333333335,234,0.78,
Research Scientist,13,0.043333333333333335,247,0.8233333333333334,
Software Engineer,13,0.043333333333333335,260,0.8666666666666667,
ML Engineer,12,0.04,272,0.9066666666666667,
Postdoc,11,0.03666666666666667,283,0.9433333333333334,
Unemployed,10,0.03333333333333333,293,0.9766666666666667,
Retired,7,0.023333333333333334,300,1,
