Category,N,%,Cum.,Cum.%,::rowname::
Not in Switzerland,24,0.08,24,0.08,
SO,20,0.06666666666666667,44,0.14666666666666667,
GR,16,0.05333333333333334,60,0.2,
ZG,15,0.05,75,0.25,
BE,14,0.04666666666666667,89,0.2966666666666667,
NW,14,0.04666666666666667,103,0.3433333333333333,
OW,14,0.04666666666666667,117,0.39,
UR,14,0.04666666666666667,131,0.4366666666666667,
GE,13,0.043333333333333335,144,0.48000000000000004,
BL,11,0.03666666666666667,155,0.5166666666666667,
FR,11,0.03666666666666667,166,0.5533333333333333,
JU,11,0.03666666666666667,177,0.59,
SZ,11,0.03666666666666667,188,0.6266666666666667,
VS,11,0.03666666666666667,199,0.6633333333333333,
AR,10,0.03333333333333333,209,0.6966666666666667,
AI,10,0.03333333333333333,219,0.73,
BS,9,0.03,228,0.76,
SH,9,0.03,237,0.79,
NE,8,0.02666666666666667,245,0.8166666666666667,
SG,8,0.02666666666666667,253,0.8433333333333334,
TI,8,0.02666666666666667,261,0.87,
AG,7,0.023333333333333334,268,0.8933333333333333,
GL,7,0.023333333333333334,275,0.9166666666666667,
VD,7,0.023333333333333334,282,0.9400000000000001,
ZH,7,0.023333333333333334,289,0.9633333333333334,
LU,6,0.02,295,0.9833333333333334,
TG,5,0.016666666666666666,300,1,
