Category,N,%,Cum.,Cum.%,::rowname::
Banking / Finance / Insurance,12,0.04838709677419355,12,0.04838709677419355,
Watchmaking,12,0.04838709677419355,24,0.0967741935483871,
Chemicals/ Ingredients,11,0.04435483870967742,35,0.1411290322580645,
"Electrical / Electronics /
Semiconductors",11,0.04435483870967742,46,0.18548387096774194,
Pharmaceuticals,11,0.04435483870967742,57,0.22983870967741937,
Renewables / Environment,11,0.04435483870967742,68,0.27419354838709675,
"Audit/ Consulting/ Professional
service",10,0.04032258064516129,78,0.31451612903225806,
Automotive,10,0.04032258064516129,88,0.3548387096774194,
Government / Public administration,10,0.04032258064516129,98,0.3951612903225806,
Biotechnology/ Bioengineering,10,0.04032258064516129,108,0.43548387096774194,
Hospital/ Healthcare,10,0.04032258064516129,118,0.47580645161290325,
Materials,9,0.036290322580645164,127,0.5120967741935484,
Construction/ Civil engineering,9,0.036290322580645164,136,0.5483870967741935,
Primary or Secondary Education,9,0.036290322580645164,145,0.5846774193548387,
Luxury goods,8,0.03225806451612903,153,0.6169354838709677,
Consumer goods,8,0.03225806451612903,161,0.6491935483870968,
Logistics/ Suplly chain industry,8,0.03225806451612903,169,0.6814516129032258,
Media / Advertising / Communication,8,0.03225806451612903,177,0.7137096774193549,
None,8,0.03225806451612903,185,0.7459677419354839,
Engineering consulting,7,0.028225806451612902,192,0.7741935483870968,
"Higher education / Research /
Academia",7,0.028225806451612902,199,0.8024193548387096,
Aviation/ Aerospace/ Defense,6,0.024193548387096774,205,0.8266129032258065,
"Machinery and Equipment /
Automation",6,0.024193548387096774,211,0.8508064516129032,
Real estate,6,0.024193548387096774,217,0.875,
Transportation/ Rail,6,0.024193548387096774,223,0.8991935483870968,
Nonprofit organization / Social,6,0.024193548387096774,229,0.9233870967741935,
Architecture / Urban planning,6,0.024193548387096774,235,0.9475806451612904,
Oil and gas / Energy,5,0.020161290322580645,240,0.967741935483871,
IT/ Telecommunicatins industry,4,0.016129032258064516,244,0.9838709677419355,
Other,3,0.012096774193548387,247,0.9959677419354839,
Medical technologies and devices,1,0.004032258064516129,248,1,
