Category,N,%,Cum.,Cum.%,::rowname::
I do not work,43,0.14333333333333334,43,0.14333333333333334,
Not in Switzerland,22,0.07333333333333333,65,0.21666666666666667,
ZG,21,0.07,86,0.2866666666666667,
SG,18,0.06,104,0.3466666666666667,
AR,16,0.05333333333333334,120,0.4,
OW,15,0.05,135,0.45,
FR,13,0.043333333333333335,148,0.49333333333333335,
SH,12,0.04,160,0.5333333333333333,
GL,11,0.03666666666666667,171,0.5700000000000001,
GE,10,0.03333333333333333,181,0.6033333333333334,
BE,9,0.03,190,0.6333333333333333,
JU,9,0.03,199,0.6633333333333333,
TI,9,0.03,208,0.6933333333333334,
SO,8,0.02666666666666667,216,0.72,
UR,8,0.02666666666666667,224,0.7466666666666667,
ZH,8,0.02666666666666667,232,0.7733333333333333,
AG,7,0.023333333333333334,239,0.7966666666666666,
BL,7,0.023333333333333334,246,0.8200000000000001,
BS,7,0.023333333333333334,253,0.8433333333333334,
LU,7,0.023333333333333334,260,0.8666666666666667,
NE,7,0.023333333333333334,267,0.89,
NW,6,0.02,273,0.91,
SZ,6,0.02,279,0.93,
TG,5,0.016666666666666666,284,0.9466666666666667,
VD,5,0.016666666666666666,289,0.9633333333333334,
AI,4,0.013333333333333334,293,0.9766666666666667,
VS,4,0.013333333333333334,297,0.99,
GR,3,0.01,300,1,
