Category,N,% of respondents
"Health, sport",34,0.11333333333333333
Other,33,0.11
Applied statistics,31,0.10333333333333333
Mathematics,31,0.10333333333333333
Science of economics,30,0.1
Psychology,28,0.09333333333333334
Education,27,0.09
"Natural science, environmental science",27,0.09
"Language, literature",26,0.08666666666666667
Other social sciences,26,0.08666666666666667
Statistics,26,0.08666666666666667
Law,23,0.07666666666666666
Data science,22,0.07333333333333333
"Art, music, design",20,0.06666666666666667
"History, civilizations study",20,0.06666666666666667
Theology,20,0.06666666666666667
Informatics / Computer science,17,0.056666666666666664
"Technical science, engineering",17,0.056666666666666664
Sociology,13,0.043333333333333335
