Job aspect,N,Mean,% Satisfied,% Dissatisfied
Recognition and appreciation,282,2.578014184397163,0.5319148936170213,0.2198581560283688
"Benefits (e.g., leave, health, insurance,
retirement benefits)",282,2.631205673758865,0.5212765957446809,0.23404255319148937
"Learning and development opportunities
(e.g., training, continuing ...)",283,2.5936395759717317,0.5159010600706714,0.22614840989399293
Work-life balance,291,2.7422680412371134,0.5017182130584192,0.2920962199312715
Interesting and meaningful work,284,2.640845070422535,0.5,0.25
"Opportunity to exercise job-related
expertise and judgment",284,2.75,0.4859154929577465,0.2887323943661972
"Relationships with coworkers and
supervisors",278,2.6402877697841727,0.4856115107913669,0.2302158273381295
Pay,278,2.643884892086331,0.48201438848920863,0.23381294964028776
"Work flexibility (e.g., telework,
alternative work schedules, core hours)",282,2.75177304964539,0.475177304964539,0.2872340425531915
Manageability of job stress,285,2.719298245614035,0.47368421052631576,0.27017543859649124
Opportunity for advancement,284,2.714788732394366,0.47183098591549294,0.25704225352112675
Work that makes a positive contribution,281,2.775800711743772,0.4626334519572954,0.2775800711743772
