job_role,N,Mean score,% Satisfied,% Dissatisfied
Consultant,25,3.76,0.72,0.16
Biostatistician,21,3.6666666666666665,0.7142857142857143,0.14285714285714285
Professor,15,3.7333333333333334,0.6666666666666666,0.13333333333333333
Data Scientist,17,3.588235294117647,0.6470588235294118,0.11764705882352941
Senior Statistician,22,3.409090909090909,0.6363636363636364,0.18181818181818182
Epidemiologist,21,3.7142857142857144,0.6190476190476191,0.14285714285714285
Data Analyst,13,3.6153846153846154,0.6153846153846154,0.3076923076923077
Quantitative Analyst,14,3.357142857142857,0.5714285714285714,0.14285714285714285
Statistician,18,3.611111111111111,0.5555555555555556,0.2777777777777778
Software Engineer,13,3.230769230769231,0.5384615384615384,0.23076923076923078
Project Manager,15,3.466666666666667,0.5333333333333333,0.3333333333333333
ML Engineer,12,3.5833333333333335,0.5,0.08333333333333333
Postdoc,11,3.090909090909091,0.45454545454545453,0.2727272727272727
PhD student,18,3.3333333333333335,0.3888888888888889,0.2222222222222222
Research Scientist,13,2.923076923076923,0.38461538461538464,0.38461538461538464
