Field of study,No,"MAS, DAS, CAS","Certified online training (Coursera, Edx, etc.)","Postgraduate in Business/Finance (MBA, EMBA, etc.)",Post-Doc,Further training with an employer,Total,::rowname::
Applied statistics,15,3,1,3,4,4,30,
Other,18,3,3,3,0,3,30,
"Health, sport",20,1,3,1,2,2,29,
Science of economics,24,0,0,1,1,2,28,
Mathematics,17,2,2,2,2,2,27,
"Language, literature",13,4,3,1,3,2,26,
Other social sciences,16,2,2,3,0,3,26,
"Natural science, environmental science",11,5,2,4,2,1,25,
Psychology,17,2,2,1,0,3,25,
Statistics,14,1,1,2,2,4,24,
Law,14,2,4,1,1,0,22,
Education,16,1,1,1,0,2,21,
Data science,14,0,0,0,4,1,19,
"History, civilizations study",14,4,0,1,0,0,19,
Informatics / Computer science,10,1,2,2,1,1,17,
Theology,9,2,1,1,1,3,17,
"Art, music, design",12,0,1,1,1,0,15,
"Technical science, engineering",11,0,0,2,1,1,15,
Sociology,6,1,2,3,0,0,12,
