Category,N,% of respondents
Statistics,19,0.13013698630136986
Psychology,18,0.1232876712328767
Mathematics,17,0.11643835616438356
Other,17,0.11643835616438356
Education,16,0.1095890410958904
"Health, sport",16,0.1095890410958904
Data science,13,0.08904109589041095
"Language, literature",13,0.08904109589041095
Law,13,0.08904109589041095
Science of economics,13,0.08904109589041095
Applied statistics,12,0.0821917808219178
"History, civilizations study",12,0.0821917808219178
Other social sciences,12,0.0821917808219178
Informatics / Computer science,11,0.07534246575342465
"Natural science, environmental science",11,0.07534246575342465
"Technical science, engineering",8,0.0547945205479452
"Art, music, design",7,0.04794520547945205
Sociology,7,0.04794520547945205
Theology,5,0.03424657534246575
