Category,N,%,Cum.,Cum.%,::rowname::
Consultant,23,0.15753424657534246,23,0.15753424657534246,
Epidemiologist,21,0.14383561643835616,44,0.3013698630136986,
PhD student,18,0.1232876712328767,62,0.4246575342465753,
Professor,14,0.0958904109589041,76,0.5205479452054794,
Project Manager,14,0.0958904109589041,90,0.6164383561643836,
Quantitative Analyst,14,0.0958904109589041,104,0.7123287671232876,
Software Engineer,12,0.0821917808219178,116,0.7945205479452054,
Research Scientist,11,0.07534246575342465,127,0.8698630136986301,
ML Engineer,10,0.0684931506849315,137,0.9383561643835616,
Postdoc,9,0.06164383561643835,146,1,
