Category,N,%,Cum.,Cum.%,::rowname::
Chemicals/ Ingredients,8,0.0547945205479452,8,0.0547945205479452,
Government / Public administration,8,0.0547945205479452,16,0.1095890410958904,
Pharmaceuticals,8,0.0547945205479452,24,0.1643835616438356,
Renewables / Environment,7,0.04794520547945205,31,0.21232876712328766,
None,7,0.04794520547945205,38,0.2602739726027397,
Banking / Finance / Insurance,6,0.0410958904109589,44,0.3013698630136986,
"Audit/ Consulting/ Professional
service",6,0.0410958904109589,50,0.3424657534246575,
Construction/ Civil engineering,6,0.0410958904109589,56,0.3835616438356164,
Hospital/ Healthcare,6,0.0410958904109589,62,0.4246575342465753,
Primary or Secondary Education,6,0.0410958904109589,68,0.4657534246575342,
Consumer goods,5,0.03424657534246575,73,0.5,
"Electrical / Electronics /
Semiconductors",5,0.03424657534246575,78,0.5342465753424657,
Watchmaking,5,0.03424657534246575,83,0.5684931506849314,
Biotechnology/ Bioengineering,5,0.03424657534246575,88,0.6027397260273972,
Engineering consulting,5,0.03424657534246575,93,0.636986301369863,
Logistics/ Suplly chain industry,5,0.03424657534246575,98,0.6712328767123288,
Media / Advertising / Communication,5,0.03424657534246575,103,0.7054794520547945,
Luxury goods,4,0.0273972602739726,107,0.732876712328767,
Aviation/ Aerospace/ Defense,4,0.0273972602739726,111,0.7602739726027397,
Materials,4,0.0273972602739726,115,0.7876712328767123,
Real estate,4,0.0273972602739726,119,0.8150684931506849,
Nonprofit organization / Social,4,0.0273972602739726,123,0.8424657534246575,
Architecture / Urban planning,4,0.0273972602739726,127,0.8698630136986301,
"Higher education / Research /
Academia",4,0.0273972602739726,131,0.8972602739726027,
Automotive,3,0.02054794520547945,134,0.9178082191780821,
Other,3,0.02054794520547945,137,0.9383561643835616,
IT/ Telecommunicatins industry,2,0.0136986301369863,139,0.9520547945205479,
"Machinery and Equipment /
Automation",2,0.0136986301369863,141,0.9657534246575342,
Transportation/ Rail,2,0.0136986301369863,143,0.9794520547945205,
Oil and gas / Energy,2,0.0136986301369863,145,0.9931506849315068,
Medical technologies and devices,1,0.00684931506849315,146,1,
