Sector,N,"Data cleaning and
preparation","Descriptive
analysis","Inferential
analysis","Modeling / Machine
learning","Development or
automation of
statistical tools","Supervision or
validation of
statistical work
carried out by
others"
Banking / Finance / Insurance,12,1.9166666666666667,2,1.6666666666666667,2.0833333333333335,2,2.75
Watchmaking,12,1.5833333333333333,2.0833333333333335,1.5833333333333333,1.9166666666666667,1.8333333333333333,2.5
Chemicals/ Ingredients,11,2.1818181818181817,2.1818181818181817,1.3636363636363635,1.4545454545454546,1.9090909090909092,1.9090909090909092
Electrical / Electronics / Semiconductors,11,2.3636363636363638,1.4545454545454546,1.7272727272727273,1.6363636363636365,1.5454545454545454,2.272727272727273
Pharmaceuticals,11,1.9090909090909092,3.1818181818181817,2.090909090909091,1.8181818181818181,1.7272727272727273,2.090909090909091
Renewables / Environment,11,1.4545454545454546,1.5454545454545454,2.5454545454545454,2.1818181818181817,1.1818181818181819,1.8181818181818181
Audit/ Consulting/ Professional service,10,2.4,2.2,3,2,1.7,1.6
Automotive,10,2.3,2.5,2.5,2.3,2,2.2
Government / Public administration,10,1.9,2.1,2.1,1.6,1.4,1.4
Biotechnology/ Bioengineering,10,2.6,2.1,2.8,2.3,1.7,2.2
Hospital/ Healthcare,10,1.9,1.5,2.2,2.1,2.6,2
Materials,9,2.3333333333333335,1.8888888888888888,2.2222222222222223,1.4444444444444444,0.8888888888888888,2.4444444444444446
Construction/ Civil engineering,9,2.4444444444444446,1.3333333333333333,1.4444444444444444,1.6666666666666667,2.6666666666666665,1.1111111111111112
Primary or Secondary Education,9,2.3333333333333335,2.3333333333333335,1.6666666666666667,2.3333333333333335,1.4444444444444444,2.4444444444444446
Luxury goods,8,2.125,2,1.75,2,2.375,2.125
Consumer goods,8,2.125,2,1.125,2.125,2.125,2.25
Logistics/ Suplly chain industry,8,2.125,1.375,2.25,1.875,1.5,1.5
Media / Advertising / Communication,8,2,1.375,1.75,2.375,2.25,1.25
Engineering consulting,7,1.7142857142857142,2.5714285714285716,2.857142857142857,1.7142857142857142,1.4285714285714286,1.8571428571428572
Higher education / Research / Academia,7,1.8571428571428572,2.142857142857143,3,2.7142857142857144,1,1.2857142857142858
Aviation/ Aerospace/ Defense,6,2.6666666666666665,1.8333333333333333,2.6666666666666665,1.5,2,1.8333333333333333
Machinery and Equipment / Automation,6,2.3333333333333335,3,3,3.3333333333333335,1.8333333333333333,2.1666666666666665
Real estate,6,0.6666666666666666,1.6666666666666667,2.3333333333333335,2.1666666666666665,1.8333333333333333,1.6666666666666667
Transportation/ Rail,6,1.3333333333333333,2.5,1,2.6666666666666665,2.1666666666666665,2.1666666666666665
Nonprofit organization / Social,6,2,1.5,1.6666666666666667,3,2.5,1.8333333333333333
Architecture / Urban planning,6,1,2.5,2.1666666666666665,2.1666666666666665,2.1666666666666665,2.5
Oil and gas / Energy,5,2,2,2.4,1.8,3.4,2.6
