Sector,No,"MAS, DAS, CAS","Certified online training (Coursera, Edx, etc.)","Postgraduate in Business/Finance (MBA, EMBA, etc.)",Post-Doc,Further training with an employer,Total,::rowname::
Watchmaking,9,1,1,0,1,0,12,
Banking / Finance / Insurance,7,0,1,1,2,0,11,
Chemicals/ Ingredients,10,1,0,0,0,0,11,
Pharmaceuticals,6,1,0,1,1,2,11,
Renewables / Environment,5,2,0,2,2,0,11,
Audit/ Consulting/ Professional service,6,0,0,2,1,1,10,
Automotive,6,1,0,0,0,3,10,
Electrical / Electronics / Semiconductors,4,2,2,1,1,0,10,
Biotechnology/ Bioengineering,7,0,0,1,1,1,10,
Construction/ Civil engineering,6,1,1,0,1,0,9,
Government / Public administration,4,0,1,2,1,0,8,
Materials,8,0,0,0,0,0,8,
Media / Advertising / Communication,5,2,1,0,0,0,8,
Primary or Secondary Education,4,0,0,2,0,2,8,
Luxury goods,4,1,1,0,0,1,7,
Consumer goods,4,1,0,2,0,0,7,
Hospital/ Healthcare,3,0,1,1,0,2,7,
Logistics/ Suplly chain industry,4,0,1,1,0,1,7,
Higher education / Research / Academia,4,0,0,1,1,1,7,
Transportation/ Rail,4,0,0,0,1,1,6,
Engineering consulting,3,2,1,0,0,0,6,
Architecture / Urban planning,3,1,1,0,0,1,6,
Oil and gas / Energy,2,2,1,0,0,0,5,
Aviation/ Aerospace/ Defense,4,0,0,0,0,0,4,
Machinery and Equipment / Automation,2,0,1,1,0,0,4,
Real estate,1,0,1,1,1,0,4,
Nonprofit organization / Social,4,0,0,0,0,0,4,
