Sector,N,Mean,SD,Median
Pharmaceuticals,11,23.181818181818183,12.51253916531878,25
Chemicals/ Ingredients,11,19.636363636363637,13.640181283785985,21
Biotechnology/ Bioengineering,10,19.1,14.843255108709215,23
Nonprofit organization / Social,6,17.5,8.47938677028003,14
Primary or Secondary Education,9,16.11111111111111,16.53363574992237,11
Electrical / Electronics / Semiconductors,11,15.727272727272727,15.245267522027346,14
Aviation/ Aerospace/ Defense,6,15.5,11.878552100319297,16.5
Media / Advertising / Communication,8,14.375,13.70023461738625,12.5
Machinery and Equipment / Automation,6,14.166666666666666,5.7067211835402185,15.5
Materials,9,13.333333333333334,11.510864433221338,12
Real estate,6,13.166666666666666,14.579666205598352,11.5
Audit/ Consulting/ Professional service,10,13,12.18377792166471,10.5
Higher education / Research / Academia,7,13,12.328828005937952,6
Government / Public administration,10,12.7,10.530906893520616,11.5
Banking / Finance / Insurance,12,12.583333333333334,9.33671475542883,8.5
Oil and gas / Energy,5,12.4,5.770615218501403,10
Watchmaking,12,12.25,10.669625536583235,9.5
Architecture / Urban planning,6,12.166666666666666,12.205190152827061,12
Logistics/ Suplly chain industry,8,12.125,10.999188281738924,11.5
Engineering consulting,7,11.857142857142858,9.494359227607577,8
Renewables / Environment,11,11.272727272727273,11.207951722691432,11
Construction/ Civil engineering,9,10.666666666666666,7.615773105863909,13
Consumer goods,8,10.5,8.366600265340756,9.5
Luxury goods,8,10.125,10.398317171542711,7
Hospital/ Healthcare,10,10.1,10.00499875062461,8.5
Transportation/ Rail,6,8.5,8.938679992034618,4
Automotive,10,8.2,7.004760286167305,6
