plsector,N,N managers,%
Aviation/ Aerospace/ Defense,6,5,0.8333333333333334
Transportation/ Rail,6,5,0.8333333333333334
Hospital/ Healthcare,10,7,0.7
Nonprofit organization / Social,6,4,0.6666666666666666
Architecture / Urban planning,6,4,0.6666666666666666
Media / Advertising / Communication,8,5,0.625
Automotive,10,6,0.6
Materials,9,5,0.5555555555555556
Luxury goods,8,4,0.5
Machinery and Equipment / Automation,6,3,0.5
Watchmaking,12,6,0.5
Biotechnology/ Bioengineering,10,5,0.5
Higher education / Research / Academia,7,3,0.42857142857142855
Government / Public administration,10,4,0.4
Oil and gas / Energy,5,2,0.4
Consumer goods,8,3,0.375
Chemicals/ Ingredients,11,4,0.36363636363636365
Renewables / Environment,11,4,0.36363636363636365
Banking / Finance / Insurance,12,4,0.3333333333333333
Real estate,6,2,0.3333333333333333
Construction/ Civil engineering,9,3,0.3333333333333333
Primary or Secondary Education,9,3,0.3333333333333333
Audit/ Consulting/ Professional service,10,3,0.3
Engineering consulting,7,2,0.2857142857142857
Electrical / Electronics / Semiconductors,11,3,0.2727272727272727
Pharmaceuticals,11,2,0.18181818181818182
Logistics/ Suplly chain industry,8,1,0.125
