Sector,Intern / Entry level position,No managerial function,Lower management,Middle management,Top management,Total,::rowname::
Banking / Finance / Insurance,2,6,2,2,0,12,
Watchmaking,1,5,4,1,1,12,
Chemicals/ Ingredients,1,6,3,1,0,11,
Electrical / Electronics / Semiconductors,2,6,2,0,1,11,
Pharmaceuticals,4,5,2,0,0,11,
Renewables / Environment,3,4,2,1,1,11,
Audit/ Consulting/ Professional service,1,6,2,1,0,10,
Automotive,0,4,4,2,0,10,
Government / Public administration,2,4,2,1,1,10,
Biotechnology/ Bioengineering,5,0,1,2,2,10,
Hospital/ Healthcare,0,3,4,3,0,10,
Materials,1,3,3,1,1,9,
Construction/ Civil engineering,2,4,2,1,0,9,
Primary or Secondary Education,2,4,2,1,0,9,
Luxury goods,2,2,2,2,0,8,
Consumer goods,1,4,2,1,0,8,
Logistics/ Suplly chain industry,3,4,1,0,0,8,
Media / Advertising / Communication,0,3,3,2,0,8,
Engineering consulting,3,2,0,1,1,7,
Higher education / Research / Academia,1,3,3,0,0,7,
Aviation/ Aerospace/ Defense,1,0,2,3,0,6,
Machinery and Equipment / Automation,2,1,1,1,1,6,
Real estate,4,0,1,1,0,6,
Transportation/ Rail,0,1,2,2,1,6,
Nonprofit organization / Social,0,2,2,0,2,6,
Architecture / Urban planning,0,2,3,1,0,6,
Oil and gas / Energy,0,3,2,0,0,5,
