Sector,N,Data viz,Other programming,Project mgmt,Sci. writing,Stat. programming,Time mgmt
Banking / Finance / Insurance,12,0.25,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.3333333333333333
Watchmaking,12,0.25,0.16666666666666666,0.25,0.16666666666666666,0.5,0.5
Chemicals/ Ingredients,11,0.36363636363636365,0.18181818181818182,0.09090909090909091,0.6363636363636364,0.45454545454545453,0.36363636363636365
Electrical / Electronics / Semiconductors,11,0.09090909090909091,0,0.36363636363636365,0.36363636363636365,0.7272727272727273,0.5454545454545454
Pharmaceuticals,11,0.36363636363636365,0.2727272727272727,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.18181818181818182
Renewables / Environment,11,0.36363636363636365,0.18181818181818182,0.5454545454545454,0.36363636363636365,0.45454545454545453,0.5454545454545454
Audit/ Consulting/ Professional service,10,0.4,0.3,0.4,0.5,0.2,0.2
Automotive,10,0.2,0.3,0.1,0.1,0.4,0.4
Government / Public administration,10,0.4,0.1,0.4,0.2,0.3,0.3
Biotechnology/ Bioengineering,10,0.3,0.3,0.4,0.2,0,0.5
Hospital/ Healthcare,10,0,0.2,0.3,0.3,0.1,0.3
Materials,9,0.4444444444444444,0.5555555555555556,0.2222222222222222,0,0.2222222222222222,0.2222222222222222
Construction/ Civil engineering,9,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.4444444444444444
Primary or Secondary Education,9,0.3333333333333333,0.2222222222222222,0.3333333333333333,0.2222222222222222,0.4444444444444444,0.4444444444444444
Luxury goods,8,0.375,0.25,0.25,0.125,0.5,0.125
Consumer goods,8,0.375,0.375,0.125,0.375,0.375,0.5
Logistics/ Suplly chain industry,8,0.25,0.375,0.25,0.25,0.375,0.125
Media / Advertising / Communication,8,0.5,0.25,0.25,0.5,0.125,0.5
Engineering consulting,7,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.42857142857142855,0
Higher education / Research / Academia,7,0.2857142857142857,0.5714285714285714,0.42857142857142855,0.14285714285714285,0.42857142857142855,0.42857142857142855
Aviation/ Aerospace/ Defense,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5
Machinery and Equipment / Automation,6,0.16666666666666666,0.5,0.5,0.16666666666666666,0.3333333333333333,0.16666666666666666
Real estate,6,0.3333333333333333,0.16666666666666666,0.5,0,0,0.5
Transportation/ Rail,6,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666
Nonprofit organization / Social,6,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.5,0.3333333333333333,0.5
Architecture / Urban planning,6,0.16666666666666666,0.3333333333333333,0,0.3333333333333333,0.5,0.3333333333333333
Oil and gas / Energy,5,0.4,0.4,0.2,0.4,0.4,0.6
