job_role,N,Mean,SD,Median
Software Engineer,13,227629.9423076923,212946.81512631243,178589
Project Manager,15,164218.1328042328,54016.474680644875,147603
Professor,15,161214.70185185186,74852.38294156356,165224.44444444444
Postdoc,11,161017.89466089467,57821.018517886885,144795
Data Analyst,13,158523.42673992674,80804.56625959913,138182
ML Engineer,12,156821.53009259258,63296.54156787642,164040.11111111112
Senior Statistician,22,154542.7435064935,54099.75592754608,145018.5
PhD student,18,151606.7389770723,53722.88266154998,144045.92857142858
Consultant,25,148402.4296825397,52964.735410810754,151455
Quantitative Analyst,14,147558.410430839,51573.80364155012,152216
Biostatistician,21,145377.02645502647,52548.30982348284,136408
Data Scientist,17,138689.65569561158,39799.86391507985,145374.28571428574
Research Scientist,13,133585.40293040292,50532.491084482455,143556.66666666666
Statistician,18,128998.11133156967,37656.344271853304,134151.57142857142
Epidemiologist,21,127164.35506424792,45590.63801255371,112807.14285714287
