plsector,N,Mean,SD,Median
Luxury goods,8,237157.64236111112,258340.04254169328,143642.94444444444
Renewables / Environment,11,184985.82756132755,66854.98036331277,170439
Logistics/ Suplly chain industry,8,180863.3923611111,107857.38095486659,150481.11111111112
Construction/ Civil engineering,9,172255.6164021164,51190.24035536269,171468
Government / Public administration,10,171469.73055555555,62676.047014068135,184818.875
Watchmaking,12,170232.80324074073,72675.09535516909,155098.75
Media / Advertising / Communication,8,169891.1369047619,64917.742802621084,155980.8333333333
Consumer goods,8,166989.59573412698,49309.885539007235,172832.5
Nonprofit organization / Social,6,159577,50630.756529998645,169547.5
Oil and gas / Energy,5,158358.85714285716,92857.894754562265,120227.50000000001
Pharmaceuticals,11,154695.443001443,61461.58278640037,156023
Higher education / Research / Academia,7,154395.30952380953,64861.47186767671,147603
Engineering consulting,7,154349.97959183675,41493.53304048275,132311
Electrical / Electronics / Semiconductors,11,148292.363997114,56880.127557359476,139084.2857142857
Hospital/ Healthcare,10,147301.49682539684,42562.21408659757,145587.5
Machinery and Equipment / Automation,6,146364.32539682538,62782.87810224284,134513.33333333334
Real estate,6,144834.45238095237,70385.35149162302,148471
Chemicals/ Ingredients,11,143756.3813131313,42977.16943356809,140284
Biotechnology/ Bioengineering,10,140533.9972222222,46080.33012877409,130342
Primary or Secondary Education,9,140381.27469135803,40307.13262905612,154818
Materials,9,139743.43738977073,70885.84336153648,102705
Architecture / Urban planning,6,130919.75462962964,28880.424283407523,129700.11111111111
Transportation/ Rail,6,129314.45833333333,65253.529324170784,103977
Banking / Finance / Insurance,12,121508.55522486773,39162.91436436598,125182.5
Audit/ Consulting/ Professional service,10,120107.22658730159,50971.77007888898,105911.125
Automotive,10,113069.47222222222,25512.375600951244,118759.49999999999
Aviation/ Aerospace/ Defense,6,111112.83333333333,41870.73622782974,95862.94444444444
