dmwork,N,Mean,SD,Median
Not in Switzerland,17,186590.53291316528,179080.7161523418,155505
ZG,18,179751.17350088182,59091.63626650458,171346
AG,5,179414,92267.87047504673,175403
ZH,6,174514.22222222222,100463.23805445046,155107.3333333333
NW,6,173898.4861111111,98985.40516384805,128693
NE,7,168695.82086167802,122096.47743193957,129136.99999999999
JU,9,162572.25396825396,65199.856723249664,154818
LU,7,161028.35317460317,37163.965101901435,146556
GL,7,153347.98809523808,70137.5655860276,112699
BE,8,149815.06547619047,40771.5170400189,149183.5
OW,13,148676.95573870573,55550.32892835876,142955
SG,17,145567.272875817,53035.15298658645,146454.2857142857
SH,10,143418.5638888889,71309.39492779897,124252.625
TI,8,138866.25198412698,29465.27574545824,136896.16666666666
SO,8,137209.97619047618,52481.06823775725,121409.19642857143
UR,6,134514.30357142858,34556.9861120563,140724.64285714287
GE,8,131406.24305555556,30500.12951150601,145813.72222222222
FR,11,129168.95707070707,51649.16925264908,113023.75
BL,5,128006.75,42755.01312543021,153215.55555555556
AR,13,122422.03418803419,53162.23735840515,100443
BS,5,111437.1507936508,31380.54873121078,110317.14285714286
