plsector,N,Mean score,% Satisfied,% Dissatisfied
Government / Public administration,10,4.1,0.8,0
Oil and gas / Energy,5,3.8,0.8,0.2
Luxury goods,8,3.75,0.75,0.125
Logistics/ Suplly chain industry,8,3.875,0.75,0
Chemicals/ Ingredients,11,3.5454545454545454,0.7272727272727273,0.18181818181818182
Electrical / Electronics / Semiconductors,11,3.8181818181818183,0.7272727272727273,0.09090909090909091
Engineering consulting,7,3.857142857142857,0.7142857142857143,0
Aviation/ Aerospace/ Defense,6,3.6666666666666665,0.6666666666666666,0.16666666666666666
Machinery and Equipment / Automation,6,3.5,0.6666666666666666,0.16666666666666666
Materials,9,3.6666666666666665,0.6666666666666666,0.1111111111111111
Transportation/ Rail,6,3.6666666666666665,0.6666666666666666,0.16666666666666666
Pharmaceuticals,11,3.5454545454545454,0.6363636363636364,0.2727272727272727
Renewables / Environment,11,3.727272727272727,0.6363636363636364,0.18181818181818182
Media / Advertising / Communication,8,3.75,0.625,0
Automotive,10,3.7,0.6,0.2
Hospital/ Healthcare,10,3.5,0.6,0.2
Banking / Finance / Insurance,12,3.3333333333333335,0.5833333333333334,0.25
Higher education / Research / Academia,7,3.4285714285714284,0.5714285714285714,0.2857142857142857
Primary or Secondary Education,9,3.4444444444444446,0.5555555555555556,0.2222222222222222
Consumer goods,8,3.5,0.5,0
Architecture / Urban planning,6,3.3333333333333335,0.5,0.3333333333333333
Construction/ Civil engineering,9,3.111111111111111,0.4444444444444444,0.3333333333333333
Watchmaking,12,3.3333333333333335,0.4166666666666667,0.16666666666666666
Biotechnology/ Bioengineering,10,2.9,0.4,0.5
Real estate,6,3,0.3333333333333333,0.5
Nonprofit organization / Social,6,3,0.3333333333333333,0.3333333333333333
Audit/ Consulting/ Professional service,10,2.7,0.3,0.5
