Category,N,%,Cum.,Cum.%,::rowname::
Student,20,0.11494252873563218,20,0.11494252873563218,
Consultant,14,0.08045977011494253,34,0.1954022988505747,
Senior Statistician,13,0.07471264367816093,47,0.27011494252873564,
Biostatistician,11,0.06321839080459771,58,0.33333333333333337,
Professor,11,0.06321839080459771,69,0.39655172413793105,
Statistician,11,0.06321839080459771,80,0.45977011494252873,
Data Scientist,10,0.05747126436781609,90,0.5172413793103449,
Epidemiologist,10,0.05747126436781609,100,0.5747126436781609,
PhD student,10,0.05747126436781609,110,0.632183908045977,
Project Manager,9,0.05172413793103448,119,0.6839080459770115,
Software Engineer,9,0.05172413793103448,128,0.735632183908046,
Postdoc,8,0.04597701149425287,136,0.7816091954022989,
Quantitative Analyst,8,0.04597701149425287,144,0.8275862068965517,
Research Scientist,8,0.04597701149425287,152,0.8735632183908046,
Data Analyst,7,0.040229885057471264,159,0.9137931034482759,
Unemployed,7,0.040229885057471264,166,0.9540229885057472,
ML Engineer,4,0.022988505747126436,170,0.9770114942528736,
Retired,4,0.022988505747126436,174,1,
