Category,N,%,Cum.,Cum.%,::rowname::
SO,14,0.08045977011494253,14,0.08045977011494253,
Not in Switzerland,13,0.07471264367816093,27,0.15517241379310345,
GR,12,0.06896551724137931,39,0.22413793103448276,
ZG,12,0.06896551724137931,51,0.2931034482758621,
UR,10,0.05747126436781609,61,0.3505747126436782,
BE,8,0.04597701149425287,69,0.39655172413793105,
FR,8,0.04597701149425287,77,0.4425287356321839,
NW,8,0.04597701149425287,85,0.4885057471264368,
AR,7,0.040229885057471264,92,0.5287356321839081,
BL,7,0.040229885057471264,99,0.5689655172413793,
JU,7,0.040229885057471264,106,0.6091954022988506,
OW,7,0.040229885057471264,113,0.6494252873563219,
AI,6,0.034482758620689655,119,0.6839080459770115,
BS,5,0.028735632183908046,124,0.7126436781609196,
GE,5,0.028735632183908046,129,0.7413793103448276,
SH,5,0.028735632183908046,134,0.7701149425287356,
SG,5,0.028735632183908046,139,0.7988505747126436,
VS,5,0.028735632183908046,144,0.8275862068965517,
AG,4,0.022988505747126436,148,0.8505747126436781,
LU,4,0.022988505747126436,152,0.8735632183908046,
NE,4,0.022988505747126436,156,0.896551724137931,
SZ,4,0.022988505747126436,160,0.9195402298850575,
TG,4,0.022988505747126436,164,0.9425287356321839,
ZH,4,0.022988505747126436,168,0.9655172413793104,
TI,3,0.017241379310344827,171,0.9827586206896551,
GL,2,0.011494252873563218,173,0.9942528735632183,
VD,1,0.005747126436781609,174,1,
