Category,N,%,Cum.,Cum.%,::rowname::
Watchmaking,9,0.06293706293706294,9,0.06293706293706294,
Banking / Finance / Insurance,7,0.04895104895104895,16,0.1118881118881119,
Automotive,7,0.04895104895104895,23,0.16083916083916083,
Government / Public administration,7,0.04895104895104895,30,0.2097902097902098,
Renewables / Environment,7,0.04895104895104895,37,0.25874125874125875,
Luxury goods,6,0.04195804195804196,43,0.30069930069930073,
"Audit/ Consulting/ Professional
service",6,0.04195804195804196,49,0.34265734265734266,
Chemicals/ Ingredients,6,0.04195804195804196,55,0.38461538461538464,
Materials,6,0.04195804195804196,61,0.42657342657342656,
Biotechnology/ Bioengineering,6,0.04195804195804196,67,0.46853146853146854,
Construction/ Civil engineering,6,0.04195804195804196,73,0.5104895104895105,
Architecture / Urban planning,6,0.04195804195804196,79,0.5524475524475525,
Consumer goods,5,0.03496503496503497,84,0.5874125874125874,
Aviation/ Aerospace/ Defense,5,0.03496503496503497,89,0.6223776223776224,
Primary or Secondary Education,5,0.03496503496503497,94,0.6573426573426574,
IT/ Telecommunicatins industry,4,0.027972027972027972,98,0.6853146853146853,
Pharmaceuticals,4,0.027972027972027972,102,0.7132867132867133,
Real estate,4,0.027972027972027972,106,0.7412587412587412,
Transportation/ Rail,4,0.027972027972027972,110,0.7692307692307693,
Logistics/ Suplly chain industry,4,0.027972027972027972,114,0.7972027972027972,
Nonprofit organization / Social,4,0.027972027972027972,118,0.8251748251748252,
Oil and gas / Energy,4,0.027972027972027972,122,0.8531468531468531,
None,4,0.027972027972027972,126,0.8811188811188811,
"Electrical / Electronics /
Semiconductors",3,0.02097902097902098,129,0.9020979020979021,
"Machinery and Equipment /
Automation",3,0.02097902097902098,132,0.9230769230769231,
Engineering consulting,3,0.02097902097902098,135,0.9440559440559441,
Hospital/ Healthcare,3,0.02097902097902098,138,0.9650349650349651,
"Higher education / Research /
Academia",2,0.013986013986013986,140,0.9790209790209791,
Media / Advertising / Communication,1,0.006993006993006993,141,0.986013986013986,
Medical technologies and devices,1,0.006993006993006993,142,0.993006993006993,
Other,1,0.006993006993006993,143,1,
