Category,N,%,Cum.,Cum.%,::rowname::
I do not work,28,0.16091954022988506,28,0.16091954022988506,
ZG,13,0.07471264367816093,41,0.23563218390804597,
SG,12,0.06896551724137931,53,0.3045977011494253,
Not in Switzerland,11,0.06321839080459771,64,0.367816091954023,
AR,10,0.05747126436781609,74,0.4252873563218391,
OW,10,0.05747126436781609,84,0.4827586206896552,
SH,8,0.04597701149425287,92,0.5287356321839081,
FR,7,0.040229885057471264,99,0.5689655172413793,
BE,6,0.034482758620689655,105,0.603448275862069,
GE,6,0.034482758620689655,111,0.6379310344827587,
UR,6,0.034482758620689655,117,0.6724137931034483,
GL,5,0.028735632183908046,122,0.7011494252873564,
LU,5,0.028735632183908046,127,0.7298850574712644,
SO,5,0.028735632183908046,132,0.7586206896551724,
ZH,5,0.028735632183908046,137,0.7873563218390804,
BL,4,0.022988505747126436,141,0.8103448275862069,
JU,4,0.022988505747126436,145,0.8333333333333334,
NE,4,0.022988505747126436,149,0.8563218390804598,
SZ,4,0.022988505747126436,153,0.8793103448275862,
AG,3,0.017241379310344827,156,0.896551724137931,
GR,3,0.017241379310344827,159,0.9137931034482759,
TG,3,0.017241379310344827,162,0.9310344827586207,
AI,2,0.011494252873563218,164,0.9425287356321839,
BS,2,0.011494252873563218,166,0.9540229885057472,
NW,2,0.011494252873563218,168,0.9655172413793104,
TI,2,0.011494252873563218,170,0.9770114942528736,
VS,2,0.011494252873563218,172,0.9885057471264368,
VD,2,0.011494252873563218,174,1,
