Category,N,% of respondents
"Health, sport",21,0.1206896551724138
Other,20,0.11494252873563218
Applied statistics,19,0.10919540229885058
Mathematics,19,0.10919540229885058
Other social sciences,17,0.09770114942528736
"Natural science, environmental science",16,0.09195402298850575
Psychology,16,0.09195402298850575
Science of economics,16,0.09195402298850575
Statistics,16,0.09195402298850575
"Art, music, design",15,0.08620689655172414
Education,15,0.08620689655172414
"Language, literature",14,0.08045977011494253
Theology,12,0.06896551724137931
Informatics / Computer science,11,0.06321839080459771
Law,11,0.06321839080459771
"Technical science, engineering",11,0.06321839080459771
Data science,10,0.05747126436781609
"History, civilizations study",8,0.04597701149425287
Sociology,4,0.022988505747126436
