Job aspect,N,Mean,% Satisfied,% Dissatisfied
Recognition and appreciation,163,2.6012269938650308,0.5398773006134969,0.2392638036809816
Pay,159,2.5283018867924527,0.5345911949685535,0.2138364779874214
Work-life balance,168,2.7142857142857144,0.5297619047619048,0.2916666666666667
"Relationships with coworkers and
supervisors",161,2.590062111801242,0.5217391304347826,0.22981366459627328
Opportunity for advancement,162,2.537037037037037,0.5185185185185185,0.2037037037037037
"Benefits (e.g., leave, health, insurance,
retirement benefits)",161,2.670807453416149,0.515527950310559,0.2608695652173913
"Opportunity to exercise job-related
expertise and judgment",165,2.7151515151515153,0.5151515151515151,0.30303030303030304
Interesting and meaningful work,164,2.6097560975609757,0.5,0.24390243902439024
"Learning and development opportunities
(e.g., training, continuing ...)",162,2.6358024691358026,0.5,0.25308641975308643
Manageability of job stress,165,2.7333333333333334,0.4727272727272727,0.2606060606060606
Work that makes a positive contribution,163,2.773006134969325,0.4662576687116564,0.26993865030674846
"Work flexibility (e.g., telework,
alternative work schedules, core hours)",163,2.8404907975460123,0.4294478527607362,0.3067484662576687
