id;submitdate;lastpage;startlanguage;seed;startdate;datestamp;dmgender;dmbirth;dmswiss;dmnatio;dmres;dmwork;sssknow;sssmember;sssmember[other];ssstime;trlvl;trlvl[other];tryear;trcontswiss;trreg;trarea[1];trarea[2];trarea[3];trarea[4];trarea[5];trarea[6];trarea[7];trarea[8];trarea[9];trarea[10];trarea[11];trarea[12];trarea[13];trarea[14];trarea[15];trarea[16];trarea[17];trarea[18];trarea[19];trarea[other];trcont[1];trcont[2];trcont[3];trcont[4];trcont[5];trcont[6];trcont[7];trcont[other];trcont2;trcont2[other];plemployed;plstatus;plstatus[other];plrole;plsector;plyexp;plrate;plsenior;plsenior[other];plskill[1];plskill[2];plskill[3];plskill[4];plskill[5];plskill[6];plskill[other];ustime[1][1];ustime[1][2];ustime[2][1];ustime[2][2];ustime[3][1];ustime[3][2];ustime[4][1];ustime[4][2];ustime[5][1];ustime[5][2];ustime[6][1];ustime[6][2];issalary;issatisf;issatisf2[1];issatisf2[2];issatisf2[3];issatisf2[4];issatisf2[5];issatisf2[6];issatisf2[7];issatisf2[8];issatisf2[9];issatisf2[10];issatisf2[11];issatisf2[12];interviewtime;groupTime652;dmgenderTime;dmbirthTime;dmswissTime;dmnatioTime;dmresTime;dmworkTime;groupTime653;sssknowTime;sssmemberTime;ssstimeTime;groupTime654;trlvlTime;tryearTime;trcontswissTime;trregTime;trareaTime;trcontTime;trcont2Time;groupTime657;plemployedTime;plstatusTime;plroleTime;plsectorTime;plyexpTime;plrateTime;plseniorTime;plskillTime;groupTime663;ustimeTime;groupTime658;issalaryTime;issatisfTime;issatisf2Time
1;2025-07-12;9;en;859230;2025-07-12;2025-07-12;1;1968;1;;20;14;1;2;;4;4;;2019;1;;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Project Manager;15;10;100;3;;0;0;1;0;0;0;;3;1;1;1;2;1;0;0;0;1;3;3;121'290;2;3;2;;2;1;2;1;2;2;3;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;2025-11-20;15;en;557037;2025-11-20;2025-11-20;1;1955;2;1;10;1;1;4;;1;2;;1998;1;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Postdoc;20;24;70;3;;0;1;1;0;0;0;;0;0;1;1;0;0;1;0;2;1;1;2;147'276;4;2;1;2;;3;2;2;4;4;4;2;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;2025-07-01;3;en;136263;2025-07-01;2025-07-01;1;1977;2;2;18;2;1;1;;3;1;;2007;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;Bioinformatics;1;0;0;0;0;0;0;;;;1;;;Biostatistician;13;15;80;2;;0;1;0;0;0;0;;0;3;2;2;2;0;1;1;2;2;0;0;77'499;4;3;3;3;2;4;3;2;1;2;2;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;2025-10-26;8;en;259808;2025-10-26;2025-10-26;2;1994;2;3;1;1;1;1;;3;3;;2023;1;;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;0;0;1;0;0;0;0;;;;1;;;Quantitative Analyst;11;8;100;2;;0;0;1;0;0;0;;4;2;2;0;0;2;4;3;0;2;2;1;165'971;3;3;2;2;3;1;3;;1;3;4;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;2025-03-09;15;en;317675;2025-03-09;2025-03-09;1;1968;1;;2;25;1;2;;3;2;;1990;1;;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;;0;1;0;0;0;0;0;;;;1;;;PhD student;2;34;90;1;;0;0;0;0;0;0;;2;2;0;1;2;0;3;2;3;1;1;1;70'344;4;;2;;3;5;1;;2;3;4;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;2026-01-27;7;en;793800;2026-01-27;2026-01-27;1;1969;1;;11;1;1;1;;2;2;;2015;2;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Project Manager;10;9;60;1;;0;1;0;1;0;0;;0;3;4;3;4;2;3;2;3;2;3;2;97'035;2;4;4;2;;2;2;3;;3;2;3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;2026-01-20;17;en;642334;2026-01-20;2026-01-20;1;1998;1;;21;11;1;1;;1;1;;2023;1;;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Statistician;9;3;100;2;;1;0;0;0;0;0;;2;0;2;0;2;0;1;0;0;3;4;1;166'413;2;3;2;1;;2;2;1;2;3;2;4;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;2025-09-20;20;en;118049;2025-09-20;2025-09-20;4;1957;1;;6;7;1;1;;1;4;;2008;1;;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;1;;;Consultant;16;11;100;3;;0;0;0;0;0;0;;4;2;4;1;1;0;1;1;0;2;1;1;140'543;1;1;4;2;3;4;2;3;1;2;2;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;2025-05-17;10;en;133290;2025-05-17;2025-05-17;1;1968;1;;23;28;1;1;;3;2;;2022;1;;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;1;0;0;0;0;0;0;;;;0;2;;Unemployed;;0;;6;;1;0;0;0;0;0;;4;2;0;1;3;3;2;0;0;2;3;1;;;;2;;2;4;2;3;2;2;5;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;2025-08-22;11;en;720992;2025-08-22;2025-08-22;2;1995;1;;12;14;1;2;;3;4;;2021;1;;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;1;0;0;0;0;;;;0;3;;Student;;0;;6;;0;0;0;0;1;0;;2;3;0;3;2;2;2;0;2;0;3;3;;;2;3;3;2;2;2;1;;3;3;2;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
